DATE,TIME,SECONDS,NANOSECONDS,VELOCITY,U,V,W,BCH4,BRSSI,TCH4,TRSSI,PRESS_MBAR,INLET,TEMPC,CH4,H20,C2H6,R,C2C1,BATTV,POWMV,CURRMA,SOCPER,LAT,LONG,bearing,U_cor,horz_length,adj_theta,totalWind,phi,raw_CH4,distance,odometer
2020-05-10,21:46:34,1589168794,632000000,11.80984007524775,0,0,0,2.00181,0,2.00181,0,239.986,0,31.2698,2.00181,7076.9,11.9591,0.757437,0.11051400000000002,11835,13467,740,66,40.5880050659,-105.0806655884,6.256545750430757,11.80984007524775,11.80984007524775,8.807720579748105,11.80984007524775,1.486322679202595,2.00181,24.1865508072217,90855.98078036151
2020-05-10,21:46:35,1589168795,656000000,11.395762772680717,0,0,0,1.99784,0,1.99784,0,239.998,0,31.2706,1.99784,7075.34,11.9953,0.663978,-1.0,11828,13479,755,66,40.588111877399996,-105.08067321780001,6.2555775775279185,11.395762772680717,11.395762772680717,8.815929137655395,11.395762772680717,1.4832686189278355,1.99784,23.33852326697043,90879.31930362848
2020-05-10,21:46:36,1589168796,680000000,16.365242264341486,0,0,0,1.99951,0,1.99951,0,239.988,0,31.271,1.99951,7066.46,11.5383,0.6025520000000001,-1.0,11828,13479,755,66,40.5882148743,-105.08067321780001,6.263962272827892,16.365242264341486,16.365242264341486,8.744330132594612,16.365242264341486,1.5097670946521333,1.99951,33.51601774929671,90912.83532137777
2020-05-10,21:46:37,1589168797,704000000,10.77465851359131,0,0,0,2.00104,0,2.00104,0,239.99099999999999,0,31.2716,2.00104,7054.13,11.7287,0.566029,-1.0,11882,13487,725,66,40.588413238499996,-105.0806808472,6.2539857755615085,10.77465851359131,10.77465851359131,8.829504138736487,10.77465851359131,1.478251074176857,2.00104,22.06649911505877,90934.90182049283
2020-05-10,21:46:38,1589168798,728000000,4.349453416730772,0,0,0,1.99845,0,1.99845,0,239.986,0,31.2726,1.99845,7055.39,11.7955,0.59004,-1.0,11849,13472,731,66,40.588413238499996,-105.0806808472,0.0,4.349453416730772,4.349453416730772,3.0613429388158426,4.349453416730772,1.3448096703556731,1.99845,8.907681020556748,90943.80950151339
2020-05-10,21:46:39,1589168799,752000000,8.491784574501885,0,0,0,1.99649,0,1.99649,0,239.99900000000002,0,31.2732,1.99649,7047.79,12.0692,0.5454829999999999,-1.0,11812,13476,722,66,40.5884933472,-105.0806808472,0.0,8.491784574501885,8.491784574501885,2.6526830861284605,8.491784574501885,1.4535753192257876,1.99649,17.39117563461634,90961.20067714801
2020-05-10,21:46:40,1589168800,776000000,7.456201295401696,0,0,0,1.9997900000000002,0,1.9997900000000002,0,240.03,0,31.2735,1.9997900000000002,7039.33,12.0164,0.451717,-1.0,11876,13503,735,66,40.5885696411,-105.0806808472,0.0,7.456201295401696,7.456201295401696,2.7059984465528033,7.456201295401696,1.4374753367629427,1.9997900000000002,15.270299200586098,90976.47097634859
2020-05-10,21:46:41,1589168801,800000000,6.006383321043756,0,0,0,1.999,0,1.999,0,239.997,0,31.2744,1.999,7032.61,11.6306,0.416425,-1.0,11825,13316,736,66,40.5886306763,-105.0806808472,0.0,6.006383321043756,6.006383321043756,2.8185304941001044,6.006383321043756,1.4058199931701647,1.999,12.301072193733852,90988.77204854232
2020-05-10,21:46:42,1589168802,824000000,4.970798475078306,0,0,0,2.005,0,2.005,0,239.972,0,31.2752,2.005,7038.35,11.7041,0.328322,-1.0,11878,13429,735,66,40.5886802673,-105.0806808472,0.0,4.970798475078306,4.970798475078306,2.948465868351241,4.970798475078306,1.3722712890647706,2.005,10.1801957604937,90998.95224430281
2020-05-10,21:46:43,1589168803,848000000,3.9352197578842842,0,0,0,2.00526,0,2.00526,0,240.005,0,31.2765,2.00526,7026.11,12.575999999999999,0.42351300000000003,-1.0,11874,13373,739,66,40.588722229,-105.0806808472,0.0,3.9352197578842842,3.9352197578842842,3.1580657779889325,3.9352197578842842,1.3219480987148624,2.00526,8.059330446944651,91007.01157474976
